claim id,evidence id,count,majority,label
cb158x-5,cb158x-5-10,2,,"[3, 0]"
cb158x-5,cb158x-5-5,2,,"[3, 0]"
37fpzj-9,37fpzj-9-0,2,,"[3, 0]"
av6h5r-11,av6h5r-11-3,2,,"[0, 3]"
6vjw21-5,6vjw21-5-6,2,,"[0, 3]"
32cnkw-7,32cnkw-7-3,2,,"[0, 3]"
9o8t62-37,9o8t62-37-6,2,,"[3, 0]"
ciu5i7-11,ciu5i7-11-3,2,,"[3, 0]"
cfnpva-3,cfnpva-3-8,2,,"[0, 3]"
9obcw6-8,9obcw6-8-1,2,,"[0, 3]"
3rhzde-20,3rhzde-20-6,2,,"[3, 0]"
9obcw6-12,9obcw6-12-1,2,,"[3, 0]"
32cnkw-79,32cnkw-79-7,2,,"[3, 0]"
3s70oc-10,3s70oc-10-3,2,,"[3, 0]"
9oz9jx-11,9oz9jx-11-10,2,,"[3, 0]"
3j5b7g-4,3j5b7g-4-2,2,,"[3, 0]"
8kbg1x-32,8kbg1x-32-2,2,,"[3, 0]"
6u54kg-24,6u54kg-24-2,2,,"[3, 0]"
8kbg1x-28,8kbg1x-28-2,2,,"[3, 0]"
7hnnlt-2,7hnnlt-2-0,2,,"[0, 3]"
32cnkw-125,32cnkw-125-1,2,,"[0, 3]"
3ycmwr-1,3ycmwr-1-6,2,,"[3, 0]"
3iynfo-1,3iynfo-1-5,2,,"[0, 3]"
8aog9s-13,8aog9s-13-0,2,,"[0, 3]"
8aog9s-13,8aog9s-13-1,2,,"[0, 3]"
32cnkw-1,32cnkw-1-2,2,,"[0, 3]"
6vjw21-7,6vjw21-7-0,2,,"[3, 0]"
bmklgm-3,bmklgm-3-10,2,,"[0, 3]"
30c0k1-17,30c0k1-17-3,2,,"[0, 3]"
6huwr1-0,6huwr1-0-6,2,,"[0, 3]"
9oz9jx-4,9oz9jx-4-5,2,,"[0, 3]"
9o8t62-20,9o8t62-20-5,2,,"[0, 3]"
6gvks4-4,6gvks4-4-4,2,,"[0, 3]"
6gvks4-4,6gvks4-4-9,2,,"[0, 3]"
6vjw21-9,6vjw21-9-6,2,,"[0, 3]"
6gvks4-15,6gvks4-15-1,2,,"[3, 0]"
3ycmwr-3,3ycmwr-3-2,2,,"[0, 3]"
6tpss6-19,6tpss6-19-2,2,,"[3, 0]"
32cnkw-106,32cnkw-106-3,2,,"[3, 0]"
6tpss6-25,6tpss6-25-8,2,,"[0, 3]"
b2z85i-6,b2z85i-6-9,2,,"[3, 0]"
32cnkw-71,32cnkw-71-4,2,,"[3, 0]"
av6h5r-6,av6h5r-6-6,2,,"[3, 0]"
32cnkw-128,32cnkw-128-0,2,,"[0, 3]"
9gzwdq-4,9gzwdq-4-1,2,,"[3, 0]"
9gzwdq-4,9gzwdq-4-2,2,,"[3, 0]"
a5kksk-2,a5kksk-2-1,2,,"[3, 0]"
32cnkw-147,32cnkw-147-4,2,,"[0, 3]"
32cnkw-147,32cnkw-147-6,2,,"[0, 3]"
37fpzj-5,37fpzj-5-2,2,,"[3, 0]"
9ydvwk-7,9ydvwk-7-1,2,,"[3, 0]"
6u54kg-25,6u54kg-25-4,2,,"[0, 3]"
3j5b7g-13,3j5b7g-13-7,2,,"[3, 0]"
67lyzt-17,67lyzt-17-1,2,,"[0, 3]"
6vjw21-0,6vjw21-0-0,2,,"[3, 0]"
6vjw21-0,6vjw21-0-4,2,,"[0, 3]"
6kbryl-4,6kbryl-4-1,2,,"[0, 3]"
67lyzt-31,67lyzt-31-8,2,,"[3, 0]"
3j5b7g-0,3j5b7g-0-3,2,,"[0, 3]"
6tpss6-31,6tpss6-31-5,2,,"[0, 3]"
bp5j5r-11,bp5j5r-11-4,2,,"[0, 3]"
8kbg1x-22,8kbg1x-22-0,2,,"[0, 3]"
9u12ze-1,9u12ze-1-4,2,,"[0, 3]"
3s70oc-0,3s70oc-0-3,2,,"[0, 3]"
37fpzj-3,37fpzj-3-0,2,,"[0, 3]"
37fpzj-3,37fpzj-3-5,2,,"[0, 3]"
37fpzj-3,37fpzj-3-6,2,,"[0, 3]"
37fpzj-3,37fpzj-3-7,2,,"[0, 3]"
8sxf94-12,8sxf94-12-5,2,,"[3, 0]"
8kbg1x-27,8kbg1x-27-6,2,,"[3, 0]"
67lyzt-0,67lyzt-0-6,2,,"[0, 3]"
3cm19f-10,3cm19f-10-0,2,,"[0, 3]"
cnk7fp-22,cnk7fp-22-4,2,,"[3, 0]"
674rmd-1,674rmd-1-2,2,,"[0, 3]"
3s70oc-8,3s70oc-8-7,2,,"[3, 0]"
cnk7fp-34,cnk7fp-34-0,2,,"[3, 0]"
cnk7fp-34,cnk7fp-34-4,2,,"[3, 0]"
cnk7fp-24,cnk7fp-24-3,2,,"[0, 3]"
32cnkw-19,32cnkw-19-6,2,,"[0, 3]"
32cnkw-19,32cnkw-19-9,2,,"[0, 3]"
7emp75-4,7emp75-4-0,2,,"[3, 0]"
7emp75-4,7emp75-4-2,2,,"[3, 0]"
8kbg1x-15,8kbg1x-15-0,2,,"[3, 0]"
a5ze7t-0,a5ze7t-0-3,2,,"[0, 3]"
5rfy4a-9,5rfy4a-9-3,2,,"[3, 0]"
8kbg1x-7,8kbg1x-7-7,2,,"[0, 3]"
8kbg1x-35,8kbg1x-35-8,2,,"[3, 0]"
9ozr8i-5,9ozr8i-5-6,2,,"[0, 3]"
9o8t62-21,9o8t62-21-4,2,,"[3, 0]"
cb158x-4,cb158x-4-2,2,,"[3, 0]"
cb158x-4,cb158x-4-5,2,,"[3, 0]"
cb158x-4,cb158x-4-6,2,,"[3, 0]"
9obcw6-7,9obcw6-7-2,2,,"[3, 0]"
3rhzde-6,3rhzde-6-1,2,,"[3, 0]"
9gzwdq-1,9gzwdq-1-1,2,,"[0, 3]"
32cnkw-148,32cnkw-148-3,2,,"[0, 3]"
32cnkw-148,32cnkw-148-8,2,,"[0, 3]"
9ydvwk-0,9ydvwk-0-8,2,,"[0, 3]"
7hnnlt-16,7hnnlt-16-6,2,,"[3, 0]"
cnk7fp-33,cnk7fp-33-2,2,,"[0, 3]"
67lyzt-35,67lyzt-35-2,2,,"[3, 0]"
cx7gpo-5,cx7gpo-5-10,2,,"[3, 0]"
6rsvbk-3,6rsvbk-3-2,2,,"[0, 3]"
a5kksk-6,a5kksk-6-3,2,,"[0, 3]"
32cnkw-134,32cnkw-134-6,2,,"[0, 3]"
9o8t62-5,9o8t62-5-6,2,,"[0, 3]"
9o8t62-5,9o8t62-5-8,2,,"[0, 3]"
3s70oc-7,3s70oc-7-2,2,,"[3, 0]"
6vjw21-8,6vjw21-8-5,2,,"[0, 3]"
6gvks4-22,6gvks4-22-8,2,,"[3, 0]"
32cnkw-105,32cnkw-105-2,2,,"[3, 0]"
32cnkw-25,32cnkw-25-3,2,,"[0, 3]"
32cnkw-25,32cnkw-25-4,2,,"[0, 3]"
32cnkw-25,32cnkw-25-5,2,,"[0, 3]"
7nfu3k-6,7nfu3k-6-8,2,,"[0, 3]"
3rhzde-19,3rhzde-19-6,2,,"[3, 0]"
a5kksk-12,a5kksk-12-8,2,,"[3, 0]"
arcbtd-2,arcbtd-2-11,2,,"[0, 3]"
9ozr8i-1,9ozr8i-1-3,2,,"[0, 3]"
av6h5r-1,av6h5r-1-10,2,,"[3, 0]"
av6h5r-1,av6h5r-1-5,2,,"[3, 0]"
av6h5r-1,av6h5r-1-8,2,,"[3, 0]"
9oz9jx-8,9oz9jx-8-1,2,,"[0, 3]"
37fpzj-16,37fpzj-16-9,2,,"[0, 3]"
3jj1an-1,3jj1an-1-2,2,,"[0, 3]"
6gvks4-3,6gvks4-3-1,2,,"[3, 0]"
cnk7fp-39,cnk7fp-39-6,2,,"[0, 3]"
7nfu3k-5,7nfu3k-5-3,2,,"[0, 3]"
6tpss6-30,6tpss6-30-10,2,,"[3, 0]"
62jk2c-1,62jk2c-1-5,2,,"[0, 3]"
6huwr1-3,6huwr1-3-8,2,,"[0, 3]"
9o8t62-6,9o8t62-6-6,2,,"[0, 3]"
32cnkw-136,32cnkw-136-4,2,,"[3, 0]"
33jje5-6,33jje5-6-3,2,,"[0, 3]"
33jje5-6,33jje5-6-6,2,,"[0, 3]"
7nfu3k-7,7nfu3k-7-2,2,,"[3, 0]"
32cnkw-141,32cnkw-141-11,2,,"[3, 0]"
6tpss6-29,6tpss6-29-7,2,,"[3, 0]"
cfnpva-8,cfnpva-8-6,2,,"[0, 3]"
67lyzt-2,67lyzt-2-0,2,,"[3, 0]"
cnk7fp-25,cnk7fp-25-6,2,,"[3, 0]"
3j5b7g-14,3j5b7g-14-3,2,,"[0, 3]"
32cnkw-138,32cnkw-138-2,2,,"[0, 3]"
32cnkw-138,32cnkw-138-5,2,,"[0, 3]"
cnk7fp-7,cnk7fp-7-6,2,,"[0, 3]"
cnk7fp-5,cnk7fp-5-4,2,,"[0, 3]"
cnk7fp-5,cnk7fp-5-9,2,,"[0, 3]"
8kbg1x-3,8kbg1x-3-8,2,,"[3, 0]"
9ydvwk-9,9ydvwk-9-3,2,,"[3, 0]"
7hnnlt-9,7hnnlt-9-7,2,,"[3, 0]"
32cnkw-20,32cnkw-20-1,2,,"[0, 3]"
67lyzt-5,67lyzt-5-6,2,,"[3, 0]"
8aog9s-4,8aog9s-4-3,2,,"[3, 0]"
8aog9s-4,8aog9s-4-5,2,,"[3, 0]"
7emp75-2,7emp75-2-6,2,,"[3, 0]"
7emp75-2,7emp75-2-9,2,,"[0, 3]"
9u12ze-0,9u12ze-0-6,2,,"[0, 3]"
bj5lc4-3,bj5lc4-3-2,2,,"[0, 3]"
bj5lc4-3,bj5lc4-3-5,2,,"[0, 3]"
9o8t62-25,9o8t62-25-1,2,,"[0, 3]"
cnk7fp-17,cnk7fp-17-5,2,,"[3, 0]"
32cnkw-153,32cnkw-153-5,2,,"[3, 0]"
7hnnlt-3,7hnnlt-3-3,2,,"[0, 3]"
7hnnlt-3,7hnnlt-3-7,2,,"[0, 3]"
8aog9s-2,8aog9s-2-4,2,,"[0, 3]"
32cnkw-27,32cnkw-27-1,2,,"[0, 3]"
cnk7fp-32,cnk7fp-32-4,2,,"[3, 0]"
32cnkw-45,32cnkw-45-4,2,,"[0, 3]"
6u54kg-1,6u54kg-1-3,2,,"[0, 3]"
8sxf94-6,8sxf94-6-7,2,,"[3, 0]"
37fpzj-1,37fpzj-1-9,2,,"[0, 3]"
7hnnlt-14,7hnnlt-14-0,2,,"[3, 0]"
32cnkw-82,32cnkw-82-4,2,,"[0, 3]"
bj5lc4-7,bj5lc4-7-2,2,,"[3, 0]"
b2z85i-8,b2z85i-8-1,2,,"[3, 0]"
6huwr1-7,6huwr1-7-1,2,,"[3, 0]"
32cnkw-160,32cnkw-160-5,2,,"[3, 0]"
33th8a-10,33th8a-10-7,2,,"[3, 0]"
7emp75-0,7emp75-0-3,2,,"[0, 3]"
9obcw6-4,9obcw6-4-7,2,,"[3, 0]"
32cnkw-164,32cnkw-164-4,2,,"[0, 3]"
3dbx77-13,3dbx77-13-8,2,,"[3, 0]"
8s26je-20,8s26je-20-1,2,,"[0, 3]"
8s26je-20,8s26je-20-7,2,,"[0, 3]"
8vtxdl-9,8vtxdl-9-4,2,,"[0, 3]"
5m7ser-4,5m7ser-4-4,2,,"[0, 3]"
bp5j5r-39,bp5j5r-39-0,2,,"[3, 0]"
bp5j5r-39,bp5j5r-39-5,2,,"[3, 0]"
6tz2nz-3,6tz2nz-3-6,2,,"[0, 3]"
3gwyor-9,3gwyor-9-2,2,,"[0, 3]"
6tz2nz-21,6tz2nz-21-1,2,,"[0, 3]"
6uvq2l-3,6uvq2l-3-4,2,,"[0, 3]"
c2441s-3,c2441s-3-4,2,,"[0, 3]"
3dbx77-7,3dbx77-7-4,2,,"[0, 3]"
a6xtnd-4,a6xtnd-4-4,2,,"[0, 3]"
8s26je-11,8s26je-11-0,2,,"[0, 3]"
3dbx77-32,3dbx77-32-6,2,,"[3, 0]"
bp5j5r-14,bp5j5r-14-2,2,,"[3, 0]"
bp5j5r-14,bp5j5r-14-5,2,,"[3, 0]"
8s26je-27,8s26je-27-4,2,,"[3, 0]"
6kw6w7-21,6kw6w7-21-7,2,,"[0, 3]"
6uvq2l-2,6uvq2l-2-2,2,,"[3, 0]"
basruu-4,basruu-4-4,2,,"[3, 0]"
8s26je-34,8s26je-34-2,2,,"[3, 0]"
6kw6w7-5,6kw6w7-5-0,2,,"[3, 0]"
3dbx77-9,3dbx77-9-9,2,,"[3, 0]"
bw9xs2-13,bw9xs2-13-1,2,,"[3, 0]"
5zxdnh-8,5zxdnh-8-3,2,,"[3, 0]"
3gwyor-11,3gwyor-11-4,2,,"[3, 0]"
3gwyor-11,3gwyor-11-9,2,,"[3, 0]"
5zxdnh-11,5zxdnh-11-7,2,,"[3, 0]"
33iz4d-2,33iz4d-2-5,2,,"[3, 0]"
3dbx77-29,3dbx77-29-2,2,,"[3, 0]"
bw9xs2-30,bw9xs2-30-3,2,,"[0, 3]"
3dbx77-17,3dbx77-17-4,2,,"[0, 3]"
6kw6w7-0,6kw6w7-0-3,2,,"[3, 0]"
7t44n0-1,7t44n0-1-4,2,,"[0, 3]"
7t44n0-1,7t44n0-1-5,2,,"[0, 3]"
5zxdnh-17,5zxdnh-17-9,2,,"[3, 0]"
8vtxdl-11,8vtxdl-11-7,2,,"[0, 3]"
bp5j5r-5,bp5j5r-5-4,2,,"[3, 0]"
8s26je-21,8s26je-21-3,2,,"[3, 0]"
3gwyor-5,3gwyor-5-8,2,,"[0, 3]"
bp5j5r-56,bp5j5r-56-5,2,,"[3, 0]"
5zxdnh-42,5zxdnh-42-9,2,,"[0, 3]"
8jazu6-2,8jazu6-2-1,2,,"[3, 0]"
6tz2nz-1,6tz2nz-1-3,2,,"[0, 3]"
cdmx2r-5,cdmx2r-5-6,2,,"[3, 0]"
bvp7yx-1,bvp7yx-1-5,2,,"[3, 0]"
3gwyor-7,3gwyor-7-3,2,,"[3, 0]"
5m7ser-12,5m7ser-12-4,2,,"[0, 3]"
bw9xs2-12,bw9xs2-12-3,2,,"[3, 0]"
5zxdnh-34,5zxdnh-34-0,2,,"[0, 3]"
bp5j5r-23,bp5j5r-23-5,2,,"[0, 3]"
8jazu6-0,8jazu6-0-7,2,,"[3, 0]"
6kw6w7-25,6kw6w7-25-1,2,,"[3, 0]"
3dbx77-19,3dbx77-19-6,2,,"[3, 0]"
3dbx77-39,3dbx77-39-1,2,,"[3, 0]"
8vtxdl-1,8vtxdl-1-6,2,,"[3, 0]"
5zxdnh-22,5zxdnh-22-4,2,,"[0, 3]"
5zxdnh-22,5zxdnh-22-7,2,,"[0, 3]"
bp5j5r-49,bp5j5r-49-7,2,,"[3, 0]"
5m7ser-3,5m7ser-3-4,2,,"[0, 3]"
5zxdnh-0,5zxdnh-0-5,2,,"[0, 3]"
5zxdnh-0,5zxdnh-0-9,2,,"[3, 0]"
6kw6w7-18,6kw6w7-18-4,2,,"[3, 0]"
3gwyor-3,3gwyor-3-4,2,,"[3, 0]"
6kw6w7-48,6kw6w7-48-5,2,,"[3, 0]"
6kw6w7-22,6kw6w7-22-4,2,,"[0, 3]"
bvp7yx-17,bvp7yx-17-3,2,,"[0, 3]"
5zxdnh-40,5zxdnh-40-9,2,,"[3, 0]"
cdmx2r-11,cdmx2r-11-7,2,,"[0, 3]"
bvp7yx-19,bvp7yx-19-4,2,,"[3, 0]"
bw9xs2-3,bw9xs2-3-5,2,,"[3, 0]"
a6xtnd-18,a6xtnd-18-1,2,,"[3, 0]"
bp5j5r-37,bp5j5r-37-5,2,,"[3, 0]"
bw9xs2-1,bw9xs2-1-5,2,,"[3, 0]"
6kw6w7-12,6kw6w7-12-5,2,,"[3, 0]"
5zxdnh-39,5zxdnh-39-1,2,,"[0, 3]"
5zxdnh-26,5zxdnh-26-5,2,,"[3, 0]"
3dbx77-24,3dbx77-24-0,2,,"[3, 0]"
2y7s0g-5,2y7s0g-5-4,2,,"[3, 0]"
cdmx2r-6,cdmx2r-6-8,2,,"[0, 3]"
5r0kkx-2,5r0kkx-2-4,2,,"[0, 3]"
3dbx77-5,3dbx77-5-0,2,,"[3, 0]"
3dbx77-33,3dbx77-33-3,2,,"[0, 3]"
cjuzut-8,cjuzut-8-2,2,,"[3, 0]"
2y7s0g-8,2y7s0g-8-2,2,,"[3, 0]"
5m7ser-6,5m7ser-6-3,2,,"[0, 3]"
cdmx2r-13,cdmx2r-13-7,2,,"[3, 0]"